iter	Passed	Remaining
1073	22156	39733
1074	22181	39719
1075	22199	39695
1076	22220	39674
1077	22238	39650
1078	22257	39626
1079	22277	39604
1080	22297	39582
1081	22317	39560
1082	22336	39538
1083	22357	39517
1084	22377	39496
1085	22397	39474
1086	22418	39454
1087	22438	39431
1088	22459	39411
1089	22479	39391
1090	22501	39371
1091	22524	39356
1092	22544	39333
1093	22563	39311
1094	22589	39300
1095	22612	39282
1096	22635	39267
1097	22660	39253
1098	22687	39243
1099	22707	39222
1100	22726	39198
1101	22745	39175
1102	22765	39153
1103	22784	39129
1104	22804	39108
1105	22825	39088
1106	22846	39068
1107	22866	39046
1108	22886	39025
1109	22906	39003
1110	22926	38981
1111	22946	38958
1112	22966	38938
1113	22986	38916
1114	23008	38897
1115	23028	38876
1116	23049	38856
1117	23070	38835
1118	23089	38813
1119	23110	38793
1120	23132	38774
1121	23152	38752
1122	23173	38732
1123	23193	38710
1124	23213	38689
1125	23234	38668
1126	23253	38646
1127	23273	38624
1128	23305	38622
1129	23330	38609
1130	23351	38588
1131	23379	38579
1132	23403	38565
1133	23432	38558
1134	23458	38546
1135	23482	38531
1136	23505	38515
1137	23524	38491
1138	23545	38469
1139	23565	38449
1140	23585	38426
1141	23604	38404
1142	23625	38383
1143	23645	38362
1144	23664	38339
1145	23684	38316
1146	23704	38295
1147	23725	38274
1148	23745	38253
1149	23765	38231
1150	23785	38209
1151	23804	38186
1152	23826	38167
1153	23847	38147
1154	23871	38132
1155	23909	38140
1156	23947	38146
1157	23978	38142
1158	24005	38131
1159	24028	38114
1160	24047	38090
1161	24066	38066
1162	24086	38045
1163	24106	38024
1164	24127	38002
1165	24148	37982
1166	24170	37963
1167	24189	37941
1168	24210	37920
1169	24231	37900
1170	24251	37878
1171	24272	37858
1172	24291	37835
1173	24312	37814
1174	24332	37792
1175	24351	37769
1176	24370	37746
1177	24389	37722
1178	24409	37701
1179	24429	37680
1180	24450	37658
1181	24470	37637
1182	24490	37616
1183	24510	37593
1184	24530	37572
1185	24550	37550
1186	24571	37529
1187	24591	37508
1188	24612	37488
1189	24635	37470
1190	24654	37447
1191	24675	37427
1192	24696	37406
1193	24715	37383
1194	24733	37358
1195	24755	37340
1196	24775	37318
1197	24795	37296
1198	24815	37275
1199	24836	37254
1200	24856	37232
1201	24876	37211
1202	24896	37188
1203	24915	37167
1204	24936	37145
1205	24957	37125
1206	24978	37104
1207	24998	37083
1208	25018	37061
1209	25037	37039
1210	25056	37016
1211	25077	36994
1212	25096	36971
1213	25116	36950
1214	25135	36928
1215	25155	36905
1216	25175	36883
1217	25194	36860
1218	25213	36837
1219	25233	36816
1220	25252	36792
1221	25271	36770
1222	25292	36749
1223	25311	36726
1224	25331	36704
1225	25351	36682
1226	25370	36660
1227	25391	36639
1228	25411	36617
1229	25430	36595
1230	25449	36572
1231	25469	36550
1232	25489	36529
1233	25508	36506
1234	25528	36483
1235	25548	36461
1236	25566	36438
1237	25586	36416
1238	25607	36395
1239	25627	36375
1240	25648	36354
1241	25669	36334
1242	25688	36310
1243	25707	36287
1244	25727	36266
1245	25747	36244
1246	25767	36223
1247	25787	36201
1248	25807	36180
1249	25827	36157
1250	25847	36136
1251	25869	36118
1252	25894	36102
1253	25917	36085
1254	25939	36067
1255	25963	36051
1256	25990	36039
1257	26013	36021
1258	26036	36004
1259	26059	35987
1260	26082	35968
1261	26107	35954
1262	26128	35934
1263	26152	35918
1264	26177	35903
1265	26197	35881
1266	26216	35858
1267	26236	35836
1268	26256	35814
1269	26274	35791
1270	26293	35768
1271	26312	35745
1272	26331	35722
1273	26349	35698
1274	26368	35675
1275	26388	35653
1276	26407	35630
1277	26426	35607
1278	26447	35587
1279	26468	35566
1280	26488	35545
1281	26509	35525
1282	26529	35503
1283	26549	35482
1284	26570	35462
1285	26592	35442
1286	26613	35422
1287	26632	35399
1288	26652	35377
1289	26672	35356
1290	26694	35337
1291	26714	35316
1292	26734	35294
1293	26753	35271
1294	26774	35251
1295	26794	35229
1296	26813	35207
1297	26833	35185
1298	26853	35164
1299	26873	35142
1300	26892	35119
1301	26912	35098
1302	26932	35076
1303	26950	35052
1304	26971	35032
1305	26991	35010
1306	27012	34989
1307	27031	34967
1308	27050	34944
1309	27070	34923
1310	27090	34901
1311	27109	34879
1312	27129	34857
1313	27149	34835
1314	27170	34814
1315	27192	34795
1316	27212	34775
1317	27233	34754
1318	27252	34732
1319	27272	34710
1320	27292	34689
1321	27313	34668
1322	27332	34645
1323	27351	34623
1324	27372	34602
1325	27393	34582
1326	27413	34561
1327	27432	34539
1328	27453	34518
1329	27472	34496
1330	27493	34475
1331	27514	34454
1332	27535	34434
1333	27554	34412
1334	27574	34391
1335	27594	34369
1336	27614	34347
1337	27635	34327
1338	27655	34306
1339	27676	34285
1340	27697	34266
1341	27719	34246
1342	27740	34226
1343	27762	34207
1344	27781	34184
1345	27803	34165
1346	27823	34143
1347	27842	34121
1348	27862	34099
1349	27884	34080
1350	27904	34059
1351	27925	34039
1352	27945	34018
1353	27966	33997
1354	27985	33975
1355	28006	33954
1356	28025	33932
1357	28046	33911
1358	28066	33890
1359	28086	33868
1360	28107	33848
1361	28128	33827
1362	28147	33805
1363	28167	33784
1364	28186	33762
1365	28207	33741
1366	28226	33719
1367	28247	33699
1368	28268	33678
1369	28289	33658
1370	28309	33637
1371	28330	33616
1372	28350	33595
1373	28370	33573
1374	28389	33550
1375	28409	33529
1376	28429	33508
1377	28449	33486
1378	28468	33464
1379	28487	33442
1380	28507	33420
1381	28526	33398
1382	28546	33376
1383	28566	33355
1384	28587	33334
1385	28607	33314
1386	28627	33292
1387	28646	33269
1388	28666	33248
1389	28686	33227
1390	28707	33206
1391	28727	33184
1392	28753	33170
1393	28794	33173
1394	28816	33154
1395	28837	33133
1396	28858	33113
1397	28877	33091
1398	28898	33071
1399	28918	33050
1400	28938	33028
1401	28956	33005
1402	28977	32984
1403	28998	32964
1404	29019	32943
1405	29039	32922
1406	29059	32901
1407	29078	32878
1408	29096	32855
1409	29117	32834
1410	29137	32812
1411	29157	32791
1412	29177	32770
1413	29196	32748
1414	29217	32727
1415	29237	32706
1416	29257	32685
1417	29276	32662
1418	29296	32640
1419	29316	32619
1420	29336	32598
1421	29357	32577
1422	29376	32556
1423	29395	32533
1424	29418	32514
1425	29443	32499
1426	29465	32480
1427	29490	32463
1428	29515	32447
1429	29538	32429
1430	29558	32409
1431	29579	32388
1432	29598	32366
1433	29618	32344
1434	29638	32323
1435	29657	32301
1436	29678	32280
1437	29698	32259
1438	29717	32236
1439	29736	32214
1440	29755	32192
1441	29776	32172
1442	29797	32151
1443	29818	32131
1444	29842	32113
1445	29863	32093
1446	29882	32071
1447	29900	32048
1448	29921	32027
1449	29941	32006
1450	29960	31984
1451	29980	31962
1452	30000	31941
1453	30020	31920
1454	30041	31899
1455	30061	31878
1456	30080	31855
1457	30100	31834
1458	30120	31813
1459	30141	31792
1460	30160	31771
1461	30180	31749
1462	30199	31727
1463	30219	31706
1464	30240	31685
1465	30259	31663
1466	30279	31641
1467	30299	31620
1468	30319	31598
1469	30339	31577
1470	30358	31556
1471	30378	31534
1472	30398	31512
1473	30419	31492
1474	30439	31471
1475	30459	31450
1476	30478	31428
1477	30498	31406
1478	30518	31385
1479	30538	31364
1480	30558	31342
1481	30577	31320
1482	30598	31299
1483	30618	31278
1484	30637	31256
1485	30657	31235
1486	30677	31213
1487	30697	31192
1488	30717	31171
1489	30738	31151
1490	30758	31130
1491	30778	31108
1492	30802	31091
1493	30821	31069
1494	30842	31048
1495	30862	31027
1496	30882	31006
1497	30902	30985
1498	30922	30964
1499	30941	30941
1500	30962	30921
1501	30983	30900
1502	31003	30879
1503	31023	30858
1504	31042	30836
1505	31061	30814
1506	31082	30793
1507	31102	30772
1508	31122	30750
1509	31141	30729
1510	31161	30708
1511	31182	30687
1512	31202	30666
1513	31223	30646
1514	31243	30625
1515	31263	30603
1516	31283	30582
1517	31303	30560
1518	31323	30539
1519	31343	30519
1520	31364	30498
1521	31384	30477
1522	31404	30456
1523	31424	30434
1524	31443	30413
1525	31463	30391
1526	31484	30370
1527	31503	30349
1528	31523	30327
1529	31543	30306
1530	31563	30285
1531	31584	30264
1532	31603	30243
1533	31623	30222
1534	31644	30201
1535	31664	30180
1536	31684	30158
1537	31705	30138
1538	31725	30117
1539	31745	30096
1540	31765	30074
1541	31785	30054
1542	31804	30032
1543	31824	30010
1544	31845	29989
1545	31864	29968
1546	31884	29947
1547	31903	29925
1548	31924	29905
1549	31945	29884
1550	31965	29863
1551	31985	29842
1552	32006	29821
1553	32025	29800
1554	32046	29779
1555	32070	29761
1556	32096	29746
1557	32119	29728
1558	32144	29711
1559	32168	29693
1560	32186	29671
1561	32206	29649
1562	32227	29629
1563	32247	29608
1564	32268	29588
1565	32288	29567
1566	32308	29545
1567	32327	29523
1568	32347	29502
1569	32367	29481
1570	32388	29461
1571	32407	29438
1572	32426	29417
1573	32448	29397
1574	32468	29376
1575	32489	29356
1576	32509	29334
1577	32529	29314
1578	32550	29293
1579	32570	29272
1580	32590	29251
1581	32610	29230
1582	32631	29209
1583	32650	29187
1584	32671	29166
1585	32691	29145
1586	32711	29125
1587	32732	29104
1588	32754	29084
1589	32776	29065
1590	32798	29046
1591	32820	29027
1592	32844	29009
1593	32864	28988
1594	32885	28968
1595	32905	28946
1596	32924	28924
1597	32944	28903
1598	32965	28883
1599	32985	28861
1600	33005	28841
1601	33026	28820
1602	33047	28800
1603	33067	28779
1604	33087	28758
1605	33107	28736
1606	33126	28715
1607	33147	28694
1608	33167	28673
1609	33187	28652
1610	33207	28631
1611	33225	28608
1612	33245	28587
1613	33264	28565
1614	33283	28543
1615	33304	28522
1616	33324	28502
1617	33345	28481
1618	33363	28458
1619	33383	28437
1620	33404	28417
1621	33424	28396
1622	33444	28375
1623	33463	28352
1624	33482	28331
1625	33503	28311
1626	33523	28290
1627	33543	28268
1628	33564	28248
1629	33584	28227
1630	33603	28205
1631	33623	28184
1632	33644	28164
1633	33665	28143
1634	33684	28121
1635	33703	28099
1636	33723	28079
1637	33743	28058
1638	33763	28036
1639	33783	28015
1640	33802	27993
1641	33823	27973
1642	33844	27952
1643	33863	27931
1644	33883	27910
1645	33903	27888
1646	33923	27868
1647	33944	27847
1648	33965	27827
