iter	Passed	Remaining
831	15460	40285
832	15478	40266
833	15496	40245
834	15513	40223
835	15530	40199
836	15547	40178
837	15564	40156
838	15583	40137
839	15609	40139
840	15632	40131
841	15653	40119
842	15677	40113
843	15699	40104
844	15720	40092
845	15738	40070
846	15755	40049
847	15774	40031
848	15792	40011
849	15810	39991
850	15829	39973
851	15846	39951
852	15863	39929
853	15881	39908
854	15899	39888
855	15917	39867
856	15936	39851
857	15964	39854
858	15985	39842
859	16003	39822
860	16021	39803
861	16040	39784
862	16058	39763
863	16077	39747
864	16094	39725
865	16112	39703
866	16129	39681
867	16146	39658
868	16163	39637
869	16181	39617
870	16199	39595
871	16217	39576
872	16235	39555
873	16251	39532
874	16269	39512
875	16302	39527
876	16319	39506
877	16338	39487
878	16355	39465
879	16373	39444
880	16390	39421
881	16409	39404
882	16426	39381
883	16443	39361
884	16461	39341
885	16479	39321
886	16497	39300
887	16515	39280
888	16543	39283
889	16561	39262
890	16579	39243
891	16597	39223
892	16615	39204
893	16633	39184
894	16651	39163
895	16668	39141
896	16686	39120
897	16704	39101
898	16721	39079
899	16740	39061
900	16758	39041
901	16777	39023
902	16795	39003
903	16811	38978
904	16828	38956
905	16845	38935
906	16863	38914
907	16881	38894
908	16899	38873
909	16917	38853
910	16935	38833
911	16953	38813
912	16971	38795
913	16989	38774
914	17007	38754
915	17024	38733
916	17042	38712
917	17060	38691
918	17077	38670
919	17095	38650
920	17112	38629
921	17131	38610
922	17148	38588
923	17165	38566
924	17183	38546
925	17200	38525
926	17217	38503
927	17235	38483
928	17252	38461
929	17270	38440
930	17289	38422
931	17307	38402
932	17324	38380
933	17340	38358
934	17358	38337
935	17377	38319
936	17394	38298
937	17412	38278
938	17430	38258
939	17448	38237
940	17464	38215
941	17483	38197
942	17500	38175
943	17518	38153
944	17536	38134
945	17554	38114
946	17571	38094
947	17590	38075
948	17608	38056
949	17626	38036
950	17644	38016
951	17661	37993
952	17679	37974
953	17697	37954
954	17715	37934
955	17731	37911
956	17749	37891
957	17766	37870
958	17786	37854
959	17803	37833
960	17821	37812
961	17839	37793
962	17857	37772
963	17874	37751
964	17892	37731
965	17911	37714
966	17929	37694
967	17947	37675
968	17965	37655
969	17983	37636
970	18002	37617
971	18019	37595
972	18036	37574
973	18053	37553
974	18071	37533
975	18089	37512
976	18106	37492
977	18123	37470
978	18141	37449
979	18157	37426
980	18174	37405
981	18193	37388
982	18212	37369
983	18230	37350
984	18248	37331
985	18266	37311
986	18284	37291
987	18302	37271
988	18319	37250
989	18337	37230
990	18354	37208
991	18371	37188
992	18390	37170
993	18408	37150
994	18425	37129
995	18444	37110
996	18460	37087
997	18477	37066
998	18496	37047
999	18513	37027
1000	18530	37006
1001	18548	36985
1002	18566	36966
1003	18583	36945
1004	18601	36925
1005	18619	36905
1006	18637	36885
1007	18654	36864
1008	18673	36846
1009	18690	36825
1010	18708	36805
